"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.08.2025","53,86","54,24","54,85","53,72","29,11M","0,75%"
"31.07.2025","53,46","53,01","53,62","52,37","20,77M","-0,71%"
"30.07.2025","53,84","54,32","54,69","53,33","35,56M","-1,79%"
"29.07.2025","54,82","55,55","55,70","54,77","14,58M","-0,62%"
"28.07.2025","55,16","54,94","55,32","54,64","19,11M","-0,97%"
"25.07.2025","55,70","56,18","56,28","55,27","21,90M","-1,47%"
"24.07.2025","56,53","56,94","57,29","56,29","21,63M","-1,55%"
"23.07.2025","57,42","57,45","57,90","57,00","17,83M","-0,14%"
"22.07.2025","57,50","56,95","57,97","56,91","40,78M","2,59%"
"21.07.2025","56,05","55,45","56,82","55,34","40,46M","2,73%"
"18.07.2025","54,56","54,05","54,78","53,97","23,65M","0,48%"
"17.07.2025","54,30","54,40","54,79","54,12","20,21M","-0,18%"
"16.07.2025","54,40","54,10","54,52","53,91","26,33M","0,91%"
"15.07.2025","53,91","54,93","55,36","53,52","24,98M","-2,62%"
"14.07.2025","55,36","55,86","55,91","54,87","15,12M","-1,14%"
"11.07.2025","56,00","55,20","56,22","55,01","18,29M","1,30%"
"10.07.2025","55,28","55,34","57,12","55,20","46,53M","2,29%"
"09.07.2025","54,04","54,70","54,70","53,75","12,07M","-0,99%"
"08.07.2025","54,58","54,52","55,59","54,36","26,61M","0,35%"
"07.07.2025","54,39","55,05","55,18","54,20","13,16M","-1,47%"
"04.07.2025","55,20","55,03","55,20","54,75","5,42M","0,29%"
"03.07.2025","55,04","55,50","55,88","54,82","18,22M","-0,47%"
"02.07.2025","55,30","53,81","55,70","53,80","63,03M","3,64%"
"01.07.2025","53,36","52,60","53,71","52,50","21,83M","1,35%"
"30.06.2025","52,65","52,79","53,03","52,44","19,90M","-0,66%"
"27.06.2025","53,00","52,19","53,09","51,91","26,18M","1,92%"
"26.06.2025","52,00","50,84","52,30","50,84","39,63M","3,01%"
"25.06.2025","50,48","50,25","50,60","49,72","23,29M","-0,12%"
"24.06.2025","50,54","50,74","50,75","50,14","18,55M","-0,02%"
"23.06.2025","50,55","50,02","50,55","49,83","17,23M","1,26%"
"20.06.2025","49,92","51,24","51,28","49,92","39,65M","-2,58%"
"18.06.2025","51,24","51,41","51,73","51,08","20,46M","-0,33%"
"17.06.2025","51,41","53,63","53,89","51,38","43,56M","-4,50%"
"16.06.2025","53,83","52,31","54,05","52,31","41,14M","3,26%"
"13.06.2025","52,13","52,07","52,51","51,96","13,22M","-1,33%"
"12.06.2025","52,83","52,90","53,04","52,47","11,11M","-0,66%"
"11.06.2025","53,18","53,81","53,81","52,99","13,63M","-0,88%"
"10.06.2025","53,65","53,30","53,87","53,11","18,88M","0,68%"
"09.06.2025","53,29","52,89","53,29","52,62","12,98M","0,59%"
"06.06.2025","52,98","53,15","53,47","52,71","16,63M","0,13%"
"05.06.2025","52,91","53,00","53,66","52,87","12,58M","0,27%"
"04.06.2025","52,77","52,62","53,33","52,62","11,56M","0,46%"
"03.06.2025","52,53","51,93","52,64","51,87","12,78M","-0,06%"
"02.06.2025","52,56","52,58","52,75","52,26","19,24M","0,88%"
"30.05.2025","52,10","53,35","53,39","52,05","28,25M","-2,53%"
"29.05.2025","53,45","53,73","53,88","53,33","10,21M","0,07%"
"28.05.2025","53,41","53,74","53,79","53,19","17,67M","-0,80%"
"27.05.2025","53,84","54,00","54,21","53,62","17,93M","-0,31%"
"26.05.2025","54,01","53,94","54,09","53,80","7,15M","-0,57%"
